date,name,category,amount_usd,amount_cny
"2026-05-26","理发","健康","15.0","105.0"
"2026-05-26","雪豆","食品","12.5","87.5"
"2026-05-26","云南菜","食品","16.0","112.0"
"2026-05-26","果茶","食品","23.0","161.0"
"2026-05-26","地铁","交通","12.5","87.5"
"2026-05-26","海运运费","百货","9.0","63.0"
"2026-05-26","weee","食品","35.0","245.0"
"2026-05-25","牛奶","食品","18.5","129.5"
"2026-05-23","川菜","食品","45.0","315.0"
"2026-05-22","氧气瓶","百货","34.0","238.0"
"2026-05-22","鲜芋仙","食品","11.5","80.5"
"2026-05-21","地铁","交通","10.5","73.5"
"2026-05-21","嫖娼","娱乐","100.0","700.0"
"2026-05-21","茉莉奶白","食品","5.0","35.0"
"2026-05-20","心理咨询","娱乐","8.0","56.0"
"2026-05-19","小花园","食品","26.0","182.0"
"2026-05-19","巴黎贝甜","食品","23.0","161.0"
"2026-05-19","阿里巴巴","百货","15.0","105.0"
"2026-05-19","茶叶运费","食品","4.0","28.0"
"2026-05-19","心理咨询","健康","8.0","56.0"
"2026-05-18","会员","娱乐","23.0","161.0"
"2026-05-18","云南菜","食品","22.0","154.0"
"2026-05-18","acme","食品","38.0","266.0"
"2026-05-18","吸毒","健康","2.0","14.0"
"2026-05-18","果茶","食品","8.0","56.0"
"2026-05-18","地铁","交通","9.5","66.5"
"2026-05-17","wf","食品","39.0","273.0"
"2026-05-17","鲜芋仙","食品","26.5","185.5"
"2026-05-17","云南菜","食品","18.5","129.5"
"2026-05-16","米线","食品","15.0","105.0"
"2026-05-16","剧本杀","娱乐","90.0","630.0"
"2026-05-16","地铁","交通","6.0","42.0"
"2026-05-15","吸毒","健康","2.0","14.0"
"2026-05-15","地铁","交通","12.5","87.5"
"2026-05-15","米线","食品","26.0","182.0"
"2026-05-15","果茶","食品","9.0","63.0"
"2026-05-15","寿司自助","食品","56.0","392.0"
"2026-05-15","缺德舅","食品","28.0","196.0"
"2026-05-15","嫖娼","娱乐","180.0","1260.0"
"2026-05-15","心理咨询","健康","8.0","56.0"
"2026-05-14","拓展坞","百货","121.0","847.0"
"2026-05-14","茶叶","食品","30.0","210.0"
"2026-05-14","鲜芋仙","食品","18.0","126.0"
"2026-05-14","二手电饭煲","百货","15.0","105.0"
"2026-05-14","二手锅","百货","10.0","70.0"
"2026-05-14","甜甜圈","食品","8.0","56.0"
"2026-05-14","二手显示器","百货","30.0","210.0"
"2026-05-14","二手床边桌","百货","20.0","140.0"
"2026-05-14","星巴克","食品","8.5","59.5"
"2026-05-14","小花园","食品","22.0","154.0"
"2026-05-13","奥美拉唑","健康","16.0","112.0"
"2026-05-13","减肥针","健康","25.0","175.0"
"2026-05-13","地铁","交通","9.5","66.5"
"2026-05-13","海底捞","食品","48.0","336.0"
"2026-05-13","寿司","食品","19.0","133.0"
"2026-05-13","寿司","食品","18.0","126.0"
"2026-05-13","卖吸尘器","卖淫","-40.0","-280.0"
"2026-05-13","卖投影","卖淫","-25.0","-175.0"
"2026-05-13","冰块","食品","2.0","14.0"
"2026-05-12","心理咨询","健康","8.0","56.0"
"2026-05-12","大福","食品","5.0","35.0"
"2026-05-12","寿司","食品","24.5","171.5"
"2026-05-12","地铁","交通","9.5","66.5"
"2026-05-11","海运运费","百货","4.0","28.0"
"2026-05-11","棉签","百货","4.0","28.0"
"2026-05-11","地铁","交通","6.5","45.5"
"2026-05-11","寿司","食品","18.0","126.0"
"2026-05-10","寿司","食品","17.5","122.5"
"2026-05-10","阿里巴巴","百货","16.0","112.0"
"2026-05-09","呼吸机配件","健康","33.5","234.5"
"2026-05-09","wf","食品","48.0","336.0"
"2026-05-09","寿司","食品","18.0","126.0"
"2026-05-08","缺德舅","食品","42.0","294.0"
"2026-05-08","心理咨询","健康","8.0","56.0"
"2026-05-08","地铁","交通","9.5","66.5"
"2026-05-08","天妇罗","食品","19.0","133.0"
"2026-05-07","卖淫","卖淫","-103.0","-721.0"
"2026-05-07","新龙兴","食品","40.0","280.0"
"2026-05-07","海底捞","食品","40.0","280.0"
"2026-05-07","嫖娼","娱乐","40.0","280.0"
"2026-05-07","地铁","交通","12.5","87.5"
"2026-05-07","星巴克","食品","7.0","49.0"
"2026-05-07","团子","食品","7.5","52.5"
"2026-05-07","日料","食品","23.0","161.0"
"2026-05-06","吸毒","健康","7.5","52.5"
"2026-05-06","地铁","交通","6.5","45.5"
"2026-05-06","amazon","食品","34.0","238.0"
"2026-05-06","寿司","食品","17.0","119.0"
"2026-05-06","茉莉奶白","食品","17.0","119.0"
"2026-05-06","嫖娼","娱乐","5.0","35.0"
"2026-05-05","茉莉奶白","食品","9.0","63.0"
"2026-05-05","肛门垫","百货","15.0","105.0"
"2026-05-04","地铁","交通","6.0","42.0"
"2026-05-04","wf","食品","50.0","350.0"
"2026-05-03","西瓜","食品","26.0","182.0"
"2026-05-01","卖淫","卖淫","-103.0","-721.0"
"2026-05-01","星巴克","食品","13.0","91.0"
"2026-05-01","地铁","交通","6.0","42.0"
"2026-05-01","心理咨询","健康","8.0","56.0"
"2026-04-30","星巴克","食品","6.0","42.0"
"2026-04-30","地铁","交通","6.0","42.0"
"2026-04-30","卖淫","收入","-2972.5","-20807.5"
"2026-04-29","水","食品","43.0","301.0"
"2026-04-29","亚马逊退款","收入","-64.0","-448.0"
"2026-04-29","星巴克","食品","7.0","49.0"
"2026-04-29","心理咨询","健康","8.0","56.0"
"2026-04-28","wf","食品","34.0","238.0"
"2026-04-28","地铁","交通","6.0","42.0"
"2026-04-28","星巴克","食品","5.0","35.0"
"2026-04-27","空运运费","百货","6.0","42.0"
"2026-04-27","星巴克","食品","14.0","98.0"
"2026-04-27","地铁","交通","9.0","63.0"
"2026-04-27","阿里巴巴","百货","14.0","98.0"
"2026-04-27","贴纸定做","百货","7.0","49.0"
"2026-04-26","包","百货","13.0","91.0"
"2026-04-26","会员","其他","20.0","140.0"
"2026-04-26","星巴克","食品","7.0","49.0"
"2026-04-26","达美乐披萨","食品","13.0","91.0"
"2026-04-24","赌博","娱乐","100.0","700.0"
"2026-04-24","心理咨询","健康","8.0","56.0"
"2026-04-24","wf","食品","19.0","133.0"
"2026-04-24","麦当劳","食品","4.0","28.0"
"2026-04-24","星巴克","食品","14.0","98.0"
"2026-04-24","保鲜袋","百货","7.0","49.0"
"2026-04-24","星巴克","食品","6.0","42.0"
"2026-04-24","地铁","交通","6.0","42.0"
"2026-04-24","芦荟","健康","7.0","49.0"
"2026-04-24","target卖淫","收入","-20.0","-140.0"
"2026-04-24","target","百货","50.0","350.0"
"2026-04-24","weee","食品","32.0","224.0"
"2026-04-23","嫖娼","娱乐","212.0","1484.0"
"2026-04-22","星巴克","食品","7.0","49.0"
"2026-04-21","心理咨询","健康","8.0","56.0"
"2026-04-21","地铁","交通","9.0","63.0"
"2026-04-21","新龙兴","食品","136.0","952.0"
"2026-04-21","理发","健康","15.0","105.0"
"2026-04-21","海底捞","食品","80.0","560.0"
"2026-04-20","地铁","交通","3.0","21.0"
"2026-04-20","船票","交通","10.0","70.0"
"2026-04-20","wf","食品","26.0","182.0"
"2026-04-19","target","百货","53.0","371.0"
"2026-04-18","地铁","交通","12.0","84.0"
"2026-04-18","海鲜","食品","44.0","308.0"
"2026-04-18","植物园门票","娱乐","7.0","49.0"
"2026-04-18","weee","食品","35.0","245.0"
"2026-04-18","target卖淫","收入","-10.0","-70.0"
"2026-04-17","二手珐琅锅","百货","25.0","175.0"
"2026-04-17","地铁","交通","12.0","84.0"
"2026-04-17","target","百货","61.0","427.0"
"2026-04-17","德昌","食品","28.0","196.0"
"2026-04-17","茉莉奶白","食品","17.0","119.0"
"2026-04-17","核磁共振","健康","80.5","563.5"
"2026-04-17","减肥针","健康","25.0","175.0"
"2026-04-17","寿司","食品","18.0","126.0"
"2026-04-16","weee","食品","36.0","252.0"
"2026-04-15","心理咨询","健康","15.0","105.0"
"2026-04-15","巴黎贝甜","食品","24.0","168.0"
"2026-04-15","amazon","百货","36.0","252.0"
"2026-04-15","地铁","交通","9.0","63.0"
"2026-04-14","二手滑板","百货","20.0","140.0"
"2026-04-14","星巴克","食品","6.0","42.0"
"2026-04-14","姑苏里","食品","11.0","77.0"
"2026-04-13","冰块","食品","4.0","28.0"
"2026-04-13","星巴克","食品","6.0","42.0"
"2026-04-13","泰餐","食品","23.0","161.0"
"2026-04-13","地铁","交通","9.0","63.0"
"2026-04-12","星巴克","食品","20.0","140.0"
"2026-04-12","wf","食品","21.0","147.0"
"2026-04-12","茉莉奶白","食品","16.0","112.0"
"2026-04-10","卖淫","收入","-103.0","-721.0"
"2026-04-10","amazon卖淫","收入","-10.0","-70.0"
"2026-04-10","地铁","交通","6.0","42.0"
"2026-04-09","weee","食品","35.0","245.0"
"2026-04-09","猪蹄","食品","30.0","210.0"
"2026-04-09","地铁","交通","6.0","42.0"
"2026-04-09","茉莉奶白","食品","20.0","140.0"
"2026-04-09","地铁","交通","6.0","42.0"
"2026-04-08","target","食品","12.0","84.0"
"2026-04-08","氟西汀","健康","10.0","70.0"
"2026-04-08","amazon","百货","48.0","336.0"
"2026-04-07","lidl","食品","29.0","203.0"
"2026-04-07","muji","百货","3.0","21.0"
"2026-04-07","地铁","交通","12.0","84.0"
"2026-04-07","tuome","食品","23.0","161.0"
"2026-04-07","巴黎贝甜","食品","24.0","168.0"
"2026-04-06","嫖娼","娱乐","75.0","525.0"
"2026-04-06","呼吸机","健康","13.0","91.0"
"2026-04-06","星巴克","食品","5.5","38.5"
"2026-04-06","泰餐","食品","26.0","182.0"
"2026-04-06","地铁","交通","9.0","63.0"
"2026-04-06","喜茶","食品","8.0","56.0"
"2026-04-04","weee","食品","35.0","245.0"
"2026-04-03","星巴克","食品","5.0","35.0"
"2026-04-03","姑苏里","食品","10.5","73.5"
"2026-04-03","麦当劳","食品","5.0","35.0"
"2026-04-03","挂号费","健康","40.0","280.0"
"2026-04-02","味千拉面","食品","19.0","133.0"
"2026-04-02","茉莉奶白","食品","18.0","126.0"
"2026-04-02","地铁","交通","9.0","63.0"
"2026-04-02","weee","食品","136.0","952.0"
"2026-04-01","蜜雪","食品","14.0","98.0"
"2026-04-01","星巴克","食品","15.0","105.0"
"2026-04-01","地铁","交通","6.0","42.0"
"2026-03-31","川菜","食品","30.0","210.0"
"2026-03-31","鸡翅","食品","12.0","84.0"
"2026-03-31","地铁","交通","9.0","63.0"
"2026-03-31","栀子花","健康","32.0","224.0"
"2026-03-31","weee","食品","37.0","259.0"
"2026-03-30","weee","食品","36.0","252.0"
"2026-03-30","地铁","交通","9.0","63.0"
"2026-03-30","青菜","食品","6.0","42.0"
"2026-03-29","weee","食品","36.0","252.0"
"2026-03-28","星巴克","食品","7.0","49.0"
"2026-03-28","target","百货","28.0","196.0"
"2026-03-27","地铁","交通","6.0","42.0"
"2026-03-27","weee","食品","36.0","252.0"
"2026-03-27","星巴克","食品","7.0","49.0"
"2026-03-26","蜜雪","食品","2.0","14.0"
"2026-03-26","拖鞋","百货","36.0","252.0"
"2026-03-26","weee","食品","39.0","273.0"
"2026-03-26","星巴克","食品","7.0","49.0"
"2026-03-26","地铁","交通","6.0","42.0"
"2026-03-26","星巴克","食品","7.0","49.0"
"2026-07-29","正畸","特殊支出","725.0","5075.0"
"2026-07-15","正畸","特殊支出","2900.0","20300.0"
